Number,Name,Code,Emoji,Hall of Fame,Comment
347,woman guard,U+1F482 U+200D U+2640 U+FE0F,💂‍♀️,,
348,ninja,U+1F977,🥷,,
349,construction worker,U+1F477,👷,,
350,man construction worker,U+1F477 U+200D U+2642 U+FE0F,👷‍♂️,,
№,CLDR Short Name,Code,Browser,,
351,woman construction worker,U+1F477 U+200D U+2640 U+FE0F,👷‍♀️,,
352,person with crown,U+1FAC5,🫅,,
353,prince,U+1F934,🤴,,
354,princess,U+1F478,👸,,
355,person wearing turban,U+1F473,👳,,
356,man wearing turban,U+1F473 U+200D U+2642 U+FE0F,👳‍♂️,,
357,woman wearing turban,U+1F473 U+200D U+2640 U+FE0F,👳‍♀️,,
358,person with skullcap,U+1F472,👲,,
359,woman with headscarf,U+1F9D5,🧕,,
360,person in tuxedo,U+1F935,🤵,,
361,man in tuxedo,U+1F935 U+200D U+2642 U+FE0F,🤵‍♂️,,
362,woman in tuxedo,U+1F935 U+200D U+2640 U+FE0F,🤵‍♀️,,
363,person with veil,U+1F470,👰,,
364,man with veil,U+1F470 U+200D U+2642 U+FE0F,👰‍♂️,,
365,woman with veil,U+1F470 U+200D U+2640 U+FE0F,👰‍♀️,,
366,pregnant woman,U+1F930,🤰,,
367,pregnant man,U+1FAC3,🫃,,
368,pregnant person,U+1FAC4,🫄,,
369,breast-feeding,U+1F931,🤱,,
370,woman feeding baby,U+1F469 U+200D U+1F37C,👩‍🍼,,
№,CLDR Short Name,Code,Browser,,
371,man feeding baby,U+1F468 U+200D U+1F37C,👨‍🍼,,
372,person feeding baby,U+1F9D1 U+200D U+1F37C,🧑‍🍼,,
person-fantasy,,,,,
№,CLDR Short Name,Code,Browser,,
373,baby angel,U+1F47C,👼,,
374,Santa Claus,U+1F385,🎅,,
375,Mrs. Claus,U+1F936,🤶,,
376,Mx Claus,U+1F9D1 U+200D U+1F384,🧑‍🎄,,
377,superhero,U+1F9B8,🦸,,
378,man superhero,U+1F9B8 U+200D U+2642 U+FE0F,🦸‍♂️,,
379,woman superhero,U+1F9B8 U+200D U+2640 U+FE0F,🦸‍♀️,,
380,supervillain,U+1F9B9,🦹,,
381,man supervillain,U+1F9B9 U+200D U+2642 U+FE0F,🦹‍♂️,,
382,woman supervillain,U+1F9B9 U+200D U+2640 U+FE0F,🦹‍♀️,,
383,mage,U+1F9D9,🧙,,
384,man mage,U+1F9D9 U+200D U+2642 U+FE0F,🧙‍♂️,,
385,woman mage,U+1F9D9 U+200D U+2640 U+FE0F,🧙‍♀️,,
386,fairy,U+1F9DA,🧚,,
387,man fairy,U+1F9DA U+200D U+2642 U+FE0F,🧚‍♂️,,
388,woman fairy,U+1F9DA U+200D U+2640 U+FE0F,🧚‍♀️,,
389,vampire,U+1F9DB,🧛,,
390,man vampire,U+1F9DB U+200D U+2642 U+FE0F,🧛‍♂️,,
391,woman vampire,U+1F9DB U+200D U+2640 U+FE0F,🧛‍♀️,,
392,merperson,U+1F9DC,🧜,,
